question,document
"Does the name I enter for the certificate get shown on the public leaderboard or anywhere online, or is it only on the certificate itself?",651ba06b34
"If I use my real name in the certificate field, will it be shared with third parties or kept private?",651ba06b34
What’s the difference between the leaderboard display name and the certificate name in Edit Course Profile?,651ba06b34
Can I keep my real name off the leaderboard but still have it printed on the certificate?,651ba06b34
"When I update my course profile, which field controls the public nickname and which one controls the official certificate name?",651ba06b34
Why don't we use LangChain in this course and build everything from scratch instead?,b7cdde6b25
What's the reason for learning the basic RAG parts before using a framework like LangChain?,b7cdde6b25
"Why does the course focus on prompt, retrieval, indexing, and evaluation first?",b7cdde6b25
"Is LangChain required for the assignments in this module, or is it skipped on purpose?",b7cdde6b25
Why is it better to understand the core LLM app pieces before adding a framework on top?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does it mean if responses.create fails with an insufficient credits error?,f5df151c59
"Is the OpenAI responses.create command broken, or is the error from my account balance?",f5df151c59
How can I fix the OpenAI API insufficient credits message when using responses.create?,f5df151c59
What should I check in my OpenAI account if responses.create throws an insufficient credits error?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI when I try to call the API?,152af39a53
"Does this OpenAI error mean my code is wrong, or is it usually a billing/quota problem?",152af39a53
How do I fix the 'You exceeded your current quota' message for the OpenAI API?,152af39a53
Do I need to add credits or a payment method before I can use OpenAI API requests in this course?,152af39a53
"After topping up my OpenAI account, do I also need to create a new API key or change the model name?",152af39a53
How much money do I actually need to use the OpenAI API for this course?,554d0eb78b
"Do I need to add a lot of credit upfront, or is a small recharge enough?",554d0eb78b
"What’s the minimum top-up for OpenAI API usage, and is it okay for the course?",554d0eb78b
"Will using the OpenAI API in this module cost me a lot, or just a tiny amount?",554d0eb78b
"If I start with a $5 recharge, is that more than enough for the course exercises?",554d0eb78b
"Do I need to pay for the OpenAI API to finish the llm-zoomcamp homework, or are there free options I can use instead?",85384a18e5
"For Module 1 RAG, is an OpenAI subscription required, or can I complete everything with lower-cost alternatives from the course repo?",85384a18e5
Is there a list somewhere of OpenAI API alternatives for this course if I don't want to spend money?,85384a18e5
"Can I do the course assignments without buying OpenAI API access, and if so, what should I use?",85384a18e5
Where can I find the free or cheap API options mentioned for this course instead of OpenAI?,85384a18e5
Why does the course recommend uv instead of pip and virtualenv for Python setup?,f81dea8f7e
What makes uv better or easier to use than the usual Python package tools?,f81dea8f7e
"Do I have to use uv in this course, or can I still stick with pip and virtualenv?",f81dea8f7e
"Is uv just for installing packages, or can it also handle environments and Python versions?",f81dea8f7e
"Why are the lessons using uv when older tools like pip, virtualenv, and poetry already exist?",f81dea8f7e
Why does my notebook not see OPENAI_API_KEY even though I already set it in .env?,86d99bbf21
"Do I need python-dotenv for OpenAI auth in Jupyter, and where should I load it?",86d99bbf21
What’s the right way to make .env variables available before I create the OpenAI client?,86d99bbf21
Could the API key issue be because the env var name is wrong in my .env file?,86d99bbf21
How can I fix it when OPENAI_API_KEY is missing inside a Jupyter notebook?,86d99bbf21
How do I keep my OpenAI or other API keys in a .env file and load them in Python without hardcoding them?,233dabe430
What’s the recommended way to use python-dotenv for reading API keys from .env in this course?,233dabe430
Do I need to add .env to .gitignore before putting secrets like OPENAI_API_KEY or GROQ_API_KEY there?,233dabe430
"How can I set up a .env file for keys such as OPENAI_API_KEY, GROQ_API_KEY, and GEMINI_API_KEY and access them with os.getenv()?",233dabe430
What package do I need to install to load environment variables from .env in a Python project?,233dabe430
"Can I use a different LLM provider than the one suggested in the homework, or do I have to stick to it?",ee43413718
"Is it okay if I use something like Gemini, Groq, Azure OpenAI, OpenRouter, or even a local model instead of the recommended one?",ee43413718
"Do I need a paid API to complete the homework, or was it meant to work without one?",ee43413718
"If I switch providers, what parts of the code usually need to change because of different response formats or tokenizers?",ee43413718
Where can I find a list of OpenAI API alternatives that are suitable for this course?,ee43413718
What do I need to set up if I want to run Gemini in the Module 1 notebook using the OpenAI-style endpoint?,0ae5c221b9
How can I make an OpenAI client talk to Google Gemini instead of OpenAI in the RAG notebook?,0ae5c221b9
"Where should I put the Gemini API key, and what model name do I pass when calling it from the course code?",0ae5c221b9
Why does the notebook code need changes when I switch from Responses format to the older chat completions approach with Gemini?,0ae5c221b9
"Can you show the basic `llm` helper setup for Gemini with `load_dotenv`, `OpenAI`, and the Google base URL?",0ae5c221b9
How do I get Pydantic-style structured output from Gemini when the OpenAI-compatible endpoint doesn't support responses.parse?,341f71f28c
What’s the easiest way to make Gemini return parsed objects using the OpenAI SDK instead of the Responses API?,341f71f28c
"Can I still use chat.completions.parse with Gemini through Google's OpenAI-compatible base URL, and how?",341f71f28c
How should I define the schema if I want Gemini to return a list of FAQ questions as a Pydantic model?,341f71f28c
What do I need to install and what code changes are required to access result.questions without manual JSON parsing?,341f71f28c
"How do I install Ollama on my machine, like on Mac, Windows, or Linux?",1d0b969028
"After installing Ollama, what command do I run to get a model working locally?",1d0b969028
How can I check if the Ollama server is actually up and responding on my computer?,1d0b969028
What do I need to install in Python before I can use Ollama from code?,1d0b969028
Can you show a tiny Python example of sending a chat prompt to a local Ollama model?,1d0b969028
I’m getting a connection refused error when I try my Ollama RAG homework—what’s the quickest way to fix it?,c6fc2d4d11
How do I restart the Ollama server in the notebook if prompting the RAG model keeps failing with connection refused?,c6fc2d4d11
"If Ollama stops responding during the RAG assignment, what command should I run to bring the server back up?",c6fc2d4d11
"Do I need to rerun the ollama serve cell after restarting the notebook, or is it enough to just start the server once?",c6fc2d4d11
"Why am I seeing connection refused when using Ollama with RAG, and what should I do inside the notebook to recover?",c6fc2d4d11
Why does my `tiktoken` token count not match the number OpenAI shows in the API response?,bf0403d21b
"When I count tokens locally for a chat prompt, why is OpenAI reporting a few extra tokens?",bf0403d21b
Does every chat message in `chat.completions.create()` add some hidden tokens to the total?,bf0403d21b
"What causes OpenAI to count more tokens than the visible text in my prompt, like 320 vs 327?",bf0403d21b
"Can whitespace, extra newlines, or weird Unicode characters change the token count compared to my local estimate?",bf0403d21b
How can I keep my OpenAI API key loaded automatically in a project folder instead of exporting it in every new terminal?,8b2f5e9d04
What’s the easiest way to set up environment variables so they work when I cd into my llm-zoomcamp project?,8b2f5e9d04
"Can I use something like direnv for .env files, and how do I make it load my key on shell startup?",8b2f5e9d04
"If I’m using GitHub Codespaces, should I still store secrets in .env or is there a better option?",8b2f5e9d04
"For a Python script in this setup, what do I use to read the .env file from the project root?",8b2f5e9d04
How do I figure out the best field weights in minsearch without guessing too much?,87d4ea4e08
What’s the right way to tune search field weights for a RAG project and know if they actually help?,87d4ea4e08
"Should I just test field weights by trial and error, or is there a better method to compare them?",87d4ea4e08
How can I build a small ground-truth set to evaluate different weight settings for retrieval?,87d4ea4e08
"Which metrics should I look at when comparing field weights for search, like hit rate or MRR?",87d4ea4e08
What’s the best way to clean up docs before using them for RAG so retrieval works better?,649c280e6d
"When preparing documents for RAG, what kind of noise should I remove and what details should I keep?",649c280e6d
"Do I need to convert my source files into JSON for RAG, or can I use other formats too?",649c280e6d
How should I chunk documents for RAG so the important context doesn’t get lost?,649c280e6d
What metadata is worth keeping when setting up documents for a RAG pipeline?,649c280e6d
"I keep seeing ""Failed to hardlink files"" in GitHub Codespaces when using uv. Is that actually a problem, or can I ignore it?",acf8fa5356
"Why does uv warn about hardlinking in Codespaces, and will the install still work if it falls back to copying files?",acf8fa5356
How can I stop uv from showing the hardlink warning just for my current terminal session?,acf8fa5356
What do I need to add to bashrc so uv always uses copy mode and doesn’t complain in future shells?,acf8fa5356
Is there any official uv docs page that explains this hardlink vs copy behavior in Codespaces?,acf8fa5356
"Why do I get ""dotenv is not recognized"" when I run my code, and what package should I install?",0bed1f48da
How can I fix the error that says dotenv isn't recognized in Python?,0bed1f48da
What do I need to add if load_dotenv from dotenv is missing?,0bed1f48da
Is there a pip or uv install for dotenv so I can use environment variables?,0bed1f48da
"After installing the dotenv package, how do I import it and load my .env file?",0bed1f48da
Can I do the course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally for this module?",aa310de435
What tools do I need if I want to run the RAG course on my machine?,aa310de435
"If I work locally, do I need to keep notes so I can recreate the setup later?",aa310de435
Why does the course recommend Codespaces if I can also use a local environment?,aa310de435
"If I work in Codespaces and don’t commit my changes, where do they actually get saved?",610ccb23c0
Is my code safe in GitHub Codespaces if I just leave it there without committing?,610ccb23c0
"Do I need to commit regularly in Codespaces, or is the VM storage enough?",610ccb23c0
What happens to uncommitted work if a Codespaces machine stops or gets deleted later?,610ccb23c0
"Should I rely on the Codespaces Linux VM to keep my files, or is pushing to GitHub still necessary?",610ccb23c0
Why does WSL2 say the model needs more memory than available even though my PC has enough RAM?,f3dd94f323
How do I change the RAM that WSL2 is allowed to use on Windows?,f3dd94f323
Where should I put the .wslconfig file if I want to give WSL2 more memory?,f3dd94f323
"After editing .wslconfig, what command do I run to apply the new WSL2 memory limit?",f3dd94f323
How can I check inside WSL2 that the new memory setting actually took effect?,f3dd94f323
My GitHub Codespace is stuck on “Finishing up” and won’t reconnect — what’s the fastest thing I can try?,830f3d2018
"If my Codespace keeps failing to open in VS Code desktop, is there a browser workaround that usually helps?",830f3d2018
"Why did my setup disappear after I rebuilt or recreated the Codespace, and what survives across restarts?",830f3d2018
"Do I need to worry about losing changes in Codespaces, or should I be committing and pushing all the time?",830f3d2018
"If Codespaces is acting flaky for me every time, is there a way to do the course without using Codespaces at all?",830f3d2018
"Can I use something other than OpenAI for the RAG exercises, or does the course require OpenAI specifically?",c6ff9083c0
"If I switch to a different LLM provider, what usually needs to change in the course code besides the model itself?",c6ff9083c0
"Are providers like Groq, OpenRouter, DeepSeek, Gemini, Mistral, or Z.ai okay to use with the course notebooks?",c6ff9083c0
What are my options if I want to run the model locally instead of calling an external API?,c6ff9083c0
"If a provider is blocked in my region, is using a VPN the only workaround, or can I just point the code to another OpenAI-compatible endpoint?",c6ff9083c0
How can I keep from getting 429 rate limit errors in the RAG notebooks when I’m looping over lots of docs?,8e21752415
What’s the easiest way to make OpenAI retries happen automatically instead of my run just crashing on a temporary 429?,8e21752415
"If I’m using threads or workers, how many should I keep so I don’t hit the per-minute limit so fast?",8e21752415
Do I need to save embeddings and model outputs somewhere so I don’t call the API again every time I rerun the notebook?,8e21752415
Is it better to use a cheaper model or another provider for the course if I want to avoid quota and rate limit problems?,8e21752415
"In agentic RAG, what exactly do people mean by a tool or function?",c296ea5a21
"Do I need to separate tools from functions in this course, or are they basically the same thing?",c296ea5a21
What kinds of external tasks can a tool/function handle in an agentic RAG setup?,c296ea5a21
How is tool calling in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
When does the model decide to use a tool instead of just answering directly?,c296ea5a21
"Are there any free LLMs I can use for tool calling in this module, or is OpenAI required?",0d74a3616f
Which Groq models support tool use and can be used for free while developing?,0d74a3616f
"Besides Groq, what other providers support tool or function calling for agent workflows?",0d74a3616f
Do I need to change my code if I switch from OpenAI to a different model provider for tools?,0d74a3616f
Where can I read the official docs for Groq tool use and supported schemas?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI’s Responses API with a model from another provider like Mistral or Groq?,9e7b3f0c25
"If I’m not using an OpenAI model, what should I use instead of `client.responses.create(...)` and `response.output`?",9e7b3f0c25
How do I change my code to work with `chat.completions` when the provider doesn’t support the Responses API?,9e7b3f0c25
Do I need to modify the tools schema too when switching from OpenAI Responses API to a non-OpenAI model?,9e7b3f0c25
Is it okay for the homework if I keep using the older chat completions endpoint instead of the new Responses API?,9e7b3f0c25
"Why am I getting Error code 400 about missing tools[0].function in Azure OpenAI, and how should I fix the weather tool JSON?",b9c7c6bb34
What is the correct format for get_weather_tool when Azure OpenAI says tools[0].function is missing?,b9c7c6bb34
I keep seeing a missing required parameter for tools[0].function — what should the get_weather tool object look like?,b9c7c6bb34
How do I rewrite the weather function schema so Azure OpenAI accepts it without the 400 error?,b9c7c6bb34
Can you show the proper JSON for get_weather_tool to avoid the invalid_request_error in Azure OpenAI?,b9c7c6bb34
Why do I get a 404 error with toyaikit when I switch from OpenAI to Groq or another provider that isn't OpenAI?,0224d980b3
How can I make toyaikit work with Groq if the Responses endpoint keeps failing?,0224d980b3
What runner and client should I use in toyaikit for Anthropic instead of the OpenAI setup?,0224d980b3
"Can I use `runner.loop(prompt=...)` in toyaikit without opening the interactive chat, and what do I get back?",0224d980b3
"If Anthropic or Groq returns a 404 in toyaikit, could it just be an outdated model name, and which model IDs should I try?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework posted somewhere in the GitHub repo, or do I need to check the course platform too?",53f15299b6
"For the 2026 Module 1 assignment, which links should I open to get the materials and instructions?",53f15299b6
I only see the course platform right now — where are the homework details and extra context kept?,53f15299b6
What are the exact pages for the 2026 Module 1 homework and the cohort materials?,53f15299b6
Why am I getting an empty list after filtering my query in HW Q3?,83da208a64
What could cause my search to return nothing when I apply filters in the homework?,83da208a64
Is the empty result in the query probably due to a mistake while indexing the data?,83da208a64
Do I need to set up the index before loading the documents for the filters to work?,83da208a64
How should I fix the indexing issue so my query and filters return results?,83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create(), and what should I change in my code?",cfb07a27d5
"In the Module 1 homework, where do I add max_output_tokens so OpenRouter stops rejecting my request?",cfb07a27d5
"For rag_helper.py, what’s the fix for the OpenRouter 402 issue with responses.create()?",cfb07a27d5
How do I set max_output_tokens in ToyAIKit for Q6 if OpenRouter keeps failing?,cfb07a27d5
"If I still get 402 after limiting output tokens, what should I check in my .env and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, does that just mean using the split text pieces instead of the original docs?",b4300adeb1
Should I fit the search index on `chunks` or on `documents` for the homework RAG setup?,b4300adeb1
"If I use the full documents in the index instead of chunks, what breaks in the RAG flow?",b4300adeb1
"When the homework says the prompt should get only the retrieved chunks, is that why we split the docs first?",b4300adeb1
What does it mean that RAG reduces the context sent to the model in this assignment?,b4300adeb1
"For the Module 1 homework, do I need my numeric answer to match one of the choices exactly, or is being close enough?",5e4ca64cb5
"If my homework result is a little different from the listed options, should I just pick the nearest one?",5e4ca64cb5
Why can my answer on the homework be slightly off even if I did the steps correctly?,5e4ca64cb5
My number doesn’t match any option very well — what should I check first in the homework instructions?,5e4ca64cb5
Is it normal for different datasets or model runs to give small differences in the Zoomcamp homework answers?,5e4ca64cb5
Where should I check first when the homework prompt is confusing — the platform page or the GitHub instructions?,7d3a2e3505
"For Module 1, which GitHub links do I need to start the homework and see the cohort materials?",7d3a2e3505
Why does the homework sometimes use a different dataset even though it follows the lesson workflow?,7d3a2e3505
"If I’m still stuck after reading the instructions, what’s the best way to ask for help in Slack?",7d3a2e3505
"When I share my problem in Slack, should I paste the code/output as text or just upload a screenshot?",7d3a2e3505
"For the Module 1 homework, how should I count tokens if I'm using a non-OpenAI model provider?",fe8fed31e6
Where do I get the input token count from in an OpenAI-compatible response object for this homework?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in the Module 1 assignment?",fe8fed31e6
What should I do if my provider doesn't include token usage info in the response?,fe8fed31e6
"For the multiple-choice questions in Module 1, what should I pick if my token count is only an estimate?",fe8fed31e6
"Why is my homework link getting rejected with a 500 or other non-200 status, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to access it?,bcdb8740ce
"Should I submit the repo URL with .git at the end, or just the normal GitHub link?",bcdb8740ce
How can I quickly verify that the homework repo URL is actually reachable before resubmitting?,bcdb8740ce
What are the most common reasons the checker can’t open my homework repository link?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we need them?",69430a79a8
How do embeddings turn text or other non-numeric data into numbers without losing meaning?,69430a79a8
Why should similar inputs end up with similar vectors in an embedding model?,69430a79a8
How does the distance between embeddings help with semantic similarity search?,69430a79a8
"What are the vector space model and dimensionality reduction, and how are they related to embeddings?",69430a79a8
"How do I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" being made on sentence transformers v3.0.0 beta?",aa3f597424
Is there a way to suppress the message saying this model was created with sentence-transformers 3.0.0 beta?,aa3f597424
"What should I install to stop the ""sentence transformers v3.0.0 bet"" warning from appearing?",aa3f597424
Do I need to upgrade sentence-transformers to fix the warning for multi-qa-mpnet-base-dot-v1?,aa3f597424
How can I silence that version warning without changing the model?,aa3f597424
Why did the lesson use a plain dot product for similarity instead of computing cosine similarity explicitly?,92cd22cada
"Are OpenAI embeddings already normalized, so dot product and cosine similarity give the same result?",92cd22cada
"In the homework, why do we need to normalize TF-IDF + SVD vectors before comparing them?",92cd22cada
"Does dot product equal cosine similarity for every embedding model, or only when vectors have unit length?",92cd22cada
What changes between the lecture example and the homework that makes normalization necessary?,92cd22cada
"For vector search in this module, do we embed just the question, just the answer, or both together?",5c4a8d2e60
"Is there a best way to build embeddings for the FAQ data, or does it depend on the dataset?",5c4a8d2e60
Why would embedding only the answer text still work for matching user questions?,5c4a8d2e60
What are the pros and cons of indexing question-only versus question-plus-text embeddings?,5c4a8d2e60
"How should I choose between the different embedding options in the course — by hit rate, MRR, or something else?",5c4a8d2e60
How does cosine similarity measure how close two vectors are in text search?,db78580409
Why is cosine similarity useful when comparing documents by their word counts or TF-IDF values?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
"Can cosine similarity be used only for non-zero vectors, and why is that important?",db78580409
"In vector search, how do you interpret the angle between two document vectors using cosine similarity?",db78580409
Why does cosine similarity become just a dot product after normalizing vectors?,95feb4e75b
How does unit-length normalization make the vector sizes irrelevant in cosine similarity?,95feb4e75b
"In vector search, why can we use matrix multiplication to compare a query with all embeddings?",95feb4e75b
What’s the connection between cosine similarity and multiplying the embedding matrix by the query vector?,95feb4e75b
Why is cosine similarity between normalized vectors so much faster to compute with matrix operations?,95feb4e75b
"For Module 2, do I need to make a whole new GitHub repository, or is starting another codespace enough?",1e829a8c6f
Why does the course recommend using a separate codespace for the vector search module instead of reusing the one from Module 1?,1e829a8c6f
"If I create a fresh codespace from my existing repo, will that still count as a separate environment for Module 2?",1e829a8c6f
What should I do with my code in Codespaces if I might delete that Module 2 environment later?,1e829a8c6f
Is there any setup benefit to keeping Module 2 isolated in its own codespace rather than adding all the new dependencies to my old one?,1e829a8c6f
Why does download.py get stuck at 0% when trying to fetch model.onnx from HuggingFace?,29b69fbe0b
What should I do if the model.onnx download never moves past 0% in download.py?,29b69fbe0b
Can I manually download model.onnx instead of waiting for the script to finish?,29b69fbe0b
Where do I need to place model.onnx so download.py won’t try to download it again?,29b69fbe0b
Why does the downloader skip the HuggingFace file once it already exists locally?,29b69fbe0b
Why do the dot-product and the for-loop version of vector search return slightly different numbers?,e889793af9
"I got `False` from `np.allclose(scores, scores_loop)` even though both methods should be the same — is that a bug?",e889793af9
Why does `X.dot(v_query)` not exactly match the loop version when I check the scores?,e889793af9
What causes tiny differences between the matrix multiplication result and the manual loop in vector search?,e889793af9
Is it normal that two ways of computing vector search scores differ in the last decimal places?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk?,1a7b27c4df
What causes the best chunk lookup to fail with a list out of range error in vector search?,1a7b27c4df
How do I fix the mismatch between embeddings and chunks so I don’t get an IndexError?,1a7b27c4df
Why should the number of embeddings be the same as the number of document chunks?,1a7b27c4df
Is there a right way to build embeddings from chunks to avoid list index errors?,1a7b27c4df
"For Module 2 Q2, my cosine similarity is way off and not in the multiple-choice list — could I be using the wrong embedding model?",eaa17a9dc6
"In the homework, should I use `sentence-transformers` or the ONNX `Embedder` from `embedder.py` for the page vectors?",eaa17a9dc6
Why do I get a cosine similarity that doesn't match any answer option even though my code seems fine?,eaa17a9dc6
"Am I supposed to embed the `content` text only, or the whole row/dict, for the similarity calculation in Q2?",eaa17a9dc6
"If my result is a little different from the choices after using the right setup, should I just choose the nearest option?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily keys for Kestra so the module can read them?",3860e5fe8b
Why does Kestra need both a normal Gemini API key and a base64-encoded SECRET_GEMINI_API_KEY?,3860e5fe8b
What’s the right way to export SECRET_OPENAI_API_KEY and SECRET_TAVILY_API_KEY before starting Kestra?,3860e5fe8b
How do I make Kestra pick up new env vars after I add my API keys?,3860e5fe8b
"Inside a Kestra flow, do I use the SECRET_ prefix when referencing GEMINI_API_KEY, or not?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what am I missing in the setup?",04440cab11
"In Kestra Open Source, do I need to set a normal Gemini key for the Copilot, or is the base64 secret variable enough?",04440cab11
"I already added SECRET_GEMINI_API_KEY for my flows, so why is the Copilot still refusing to answer?",04440cab11
"What exact environment variable does Kestra Copilot look for, and do I need to restart after setting it?",04440cab11
"Could this Copilot error be caused by a bad API key or hitting Gemini quota, and how do I check that?",04440cab11
Why does Kestra say my Gemini API key is missing or invalid even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a trailing newline or space break the base64 secret for Gemini in Kestra?,c8ca21af33
How should I encode the API key before exporting SECRET_GEMINI_API_KEY so Kestra reads it correctly?,c8ca21af33
Do I need to restart the Kestra container after changing environment variables or secrets?,c8ca21af33
"In the flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY inside secret(...) ?",c8ca21af33
Why should I use an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
What does Kestra add for real AI workflows that a normal script or notebook doesn’t have?,193612db63
"In this module, why is Kestra used for things like AI Copilot, RAG, and agents?",193612db63
"Can Kestra help with scheduling, retries, monitoring, and secret handling, or do I need other tools for that?",193612db63
"If I build a flow with OpenAI and later want to switch to Gemini or Anthropic, do I have to rewrite the whole thing?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only needed in Module 3?",cce328db64
"For the final project, can I build the ingestion pipeline with Airflow, Prefect, Dagster, or even just Python?",cce328db64
"If I skip Kestra and use a notebook instead, do I still get full points for the project pipeline part?",cce328db64
Why does the course teach Kestra in Module 3 instead of just any orchestrator like Airflow?,cce328db64
