question,answer_llm,answer_orig,document
"Why can’t students get the Zoom URL for office hours, and what should we use instead?","Students can’t get the Zoom URL because it’s only published to instructors, presenters, and TAs.

Instead, students should join via **YouTube Live** and submit questions through **Slido** (the link is pinned in the chat when live). The session link is also posted in the **announcements channel on Telegram and Slack** before it starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the live video link posted before an office hours session starts?,The live video URL is posted in the announcements channel on Telegram and Slack before the session starts.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I want to ask a question during the live workshop, should I use chat or Slido?","Use **Slido**, not chat. The workshop guidance says students should submit questions to **Slido** (the link is pinned in the chat when live), and **don’t post questions in chat** because they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where should I begin if I’m just starting LLM Zoomcamp, and what pages/docs should I check first?","If you’re just starting LLM Zoomcamp, begin with these:

1. **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/  
2. **General Zoomcamp logistics docs**: https://datatalks.club/docs/courses/zoomcamp-logistics/  
3. **LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp

For the weekly workflow, the usual order is:

- Watch the lesson videos
- Work through the lesson notebooks/code
- Read the homework instructions on GitHub
- Submit answers on the course platform before the deadline

Also, to track the syllabus, deadlines, homework, and progress, check the **course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

If you want, I can also point you to the **Module 1 starting materials** specifically.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I start the course anytime, or is there a fixed start date I have to wait for?","You can start whenever you want. There isn’t a fixed start date you have to wait for, and the videos and GitHub materials are already available.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course from watching videos to turning in homework?,"The usual weekly workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers through the course platform before the deadline  

Homework is usually similar to the lesson flow, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where are the deadlines posted, and how do I know when homework needs to be submitted?","Deadlines are posted on the **LLM Zoomcamp course management platform**. It contains the current cohort structure, homework, deadlines, and progress tracking.

To know when homework needs to be submitted, check the **course platform** for the deadline, and use the **GitHub homework instructions** for any extra context about the assignment.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is homework basically the same as the lesson exercises, or does it change the dataset/task?","Homework is similar to the lesson exercises, but it usually uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I don’t see my name on the leaderboard — how do I find my own entry?,"Click **“Jump to your record on the leaderboard”** — your account is automatically assigned a random display name, so that link will take you to your own entry.

If you want to check or change the name shown publicly, go to **“Edit Course Profile.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name do I show on the leaderboard by default when I create an account?,"By default, you’re shown a random nickname on the leaderboard, such as **“Lucid Elbakyan.”**","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check or change my display name for the course?,"You can check or change it in **“Edit Course Profile.”**

- **First field:** your **display name / public nickname** for the leaderboard
- **Second field:** your **certificate name**

The leaderboard uses the **first field**, and it’s anonymous by default unless you change it.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I use my Slack or GitHub name instead of the random nickname?,"Yes. You can change the first field in **Edit Course Profile** to your **Slack username, GitHub username, or any other nickname** you want to use on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What do I need to enter so my certificate won’t show the default name?,Enter your **official name** in the **second field** of “Edit Course Profile” — the name exactly as it appears on your identification documents. This is mandatory if you don’t want the default name (“Lucid Elbakyan”) on your certificate.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I do the course on my own schedule and still get a certificate, or is it only for people in the live cohort?","No. You can follow the course in self-paced mode, but you **won’t get a certificate** that way. Certificates are only awarded if you complete the course with a **live cohort**, because the certificate requires you to **peer-review 3 capstone projects**, which is only possible while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I study the course in self-paced mode, will I get any certificate at the end?",No. You can only get a certificate if you finish the course with a live cohort. The self-paced mode does not award certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why aren't certificates given for the self-paced version of the course?,"Certificates aren’t given for the self-paced version because the course requires you to peer-review 3 capstone projects after you submit your own. That peer-review step only happens while a live cohort is running, before the submission form closes and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to peer-review other students' capstone projects in order to qualify for the certificate?,"Yes. To qualify for the certificate, you need to peer-review 3 other students’ capstone projects. If you don’t do the required peer reviews, you may fail to get the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Is it possible to submit peer reviews after the course is over, or does that only work while the cohort is running?","Peer reviews only work while the course/cohort is running. After the form is closed and the peer-review list is compiled, you can no longer submit peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
I missed the first homework — can I still get the course certificate if I do the capstone project?,"Yes. Missing the first homework won’t affect your certificate — you just need to pass the Capstone project to get it. Homework is optional, though recommended.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Do I have to complete every homework assignment to receive the certificate, or is passing the final project enough?",No. Homework is not mandatory for the certificate. You need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn’t mandatory, what do I need to pass in order to get the certificate for this course?",You need to pass the **Capstone project** to get the certificate. Homework is not mandatory.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Will skipping the first homework stop me from getting a certificate, even if I finish the capstone?","No. Skipping the first homework will not stop you from getting a certificate, as long as you pass the Capstone project and finish the course with a live cohort. Homework is not mandatory.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework points required for the certificate, or do they only affect the leaderboard ranking?","Homework points are **not required for the certificate**. You only need to **pass the Capstone project** to get the certificate.

Homework is **optional**, though recommended, and the points you earn from it only affect your **leaderboard ranking**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before it’s released?,"If the homework title contains **`[DRAFT]`**, it means the homework is **not ready yet**. Until both of these are true:

- the homework form is open on the course management platform, and
- the title does **not** contain `[DRAFT]`,

the content can still change. Working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"If a homework title has `[DRAFT]` in it, it means the homework is not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready to do?,"The homework is ready only when **both** are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If the title still says `[DRAFT]`, it is not ready yet, and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on homework early even if it’s still changing?,"Yes, but only at your own risk. If the homework is still marked `[DRAFT]` or the form isn’t open yet, the content can still change, so the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is homework considered final and no longer likely to change?,"Homework is considered final only when **both** of these are true:

- The homework form is **open** on the course management platform.
- The homework title **does not contain `[DRAFT]`**.

Until then, it can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next run of this course starting?,The next run of the course is starting in **Summer 2027**.,Summer 2027.,bd31146b0e
Do you know when the course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a date for the next course session?,I don't know.,Summer 2027.,bd31146b0e
When can I expect the next offering of the course?,The next offering of the course is expected in **Summer 2027**.,Summer 2027.,bd31146b0e
Will this course be available again in Summer 2027?,Yes — the course will be offered again in **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course videos for each lesson?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should start instead of searching YouTube first?,"Yes — the main place to start is the **LLM Zoomcamp GitHub repository**.

The course notes say that when in doubt, you should follow the **GitHub repo first**, because it’s easier to keep updated than YouTube.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I get to the lecture videos from the lesson pages?,Use the **LLM Zoomcamp GitHub repository** as the main entry point. Open the **lesson folders** in the repo — each lesson page has the relevant **lecture videos linked at the top**.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the easiest way to find the videos for this course?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point.  
Open the lesson folders there — **each lesson page has the relevant videos linked at the top**.

When in doubt, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to track down the lectures?,"Use the **GitHub repo first**. It’s the main entry point for the course, and it’s easier to keep updated than the YouTube playlist. The lesson folders in the repo have the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and current cohort structure?,"Check the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the **current cohort structure**, along with the syllabus, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there one place to see homework and deadlines for the LLM Zoomcamp?,"Yes — the **LLM Zoomcamp course management platform** is the main place to see the **syllabus, homework, deadlines, and progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

The GitHub repo also has homework instructions, but the course platform is the place for **submission and deadlines**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I track my progress in LLM Zoomcamp during the course?,"You can track your progress in the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the course structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use for all LLM Zoomcamp course info and updates?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Does LLM Zoomcamp have a management site like the other DataTalks.Club Zoomcamps?,"Yes — LLM Zoomcamp has a course management platform like the other DataTalks.Club Zoomcamps.

You can track the syllabus, deadlines, homework, and progress here:
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you guys have live classes or office hours for every module, or is it all recorded?","There aren’t separate live classes or office hours for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen, and if you get stuck, you should ask in Slack and follow the course’s question guidelines.

Optional extra support with regular Zoom office hours is available through AI Shipping Labs, but that’s a paid community and not required for the free course.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help and is there any guide for that?","If you get stuck on a lesson, ask your question in **Slack** and follow the course’s **asking questions guidelines**:  
https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/

There aren’t separate live sessions for every module by default, but live sessions may be announced separately when they happen.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live sessions part of the course schedule, or do they only happen sometimes?","Live sessions do **not** seem to be part of every module by default. The course materials are **pre-recorded**, and **live sessions are announced separately when they happen**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Is there an option for paid extra support with regular Zoom office hours, or is everything free?","Yes — there is an optional paid extra-support community called **AI Shipping Labs** that includes **regular Zoom office hours** and additional structure.

The main DataTalks.Club course content remains **free**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
