question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
How do I join the Office Hours or live workshop stream if I’m a student?,489dd1c9d9,good,"The agent answer matches the ground truth well. It correctly says students should not use the Zoom link, should watch via YouTube Live, find the video link in Telegram/Slack announcements, use Slido for questions, and avoid posting questions in chat. This contains the key information from the original answer.",good,"The single search query was relevant and included the main terms from the question (Office Hours, live workshop stream, student, join). One search call was reasonable and sufficient for this FAQ-style question."
Where can I watch the live sessions for the course if I don’t have the Zoom link?,489dd1c9d9,good,"The agent’s answer matches the ground truth closely. It correctly states that the live sessions can be watched on the DataTalksClub YouTube channel and that the video URL is posted in the announcements channel on Telegram and Slack before the session starts. It also correctly mentions using Slido for questions instead of chat. The only minor omission is that it doesn’t explicitly mention the Zoom link being only for instructors/presenters/TAs, but that is not essential to the core answer.",good,"The single search query was relevant and included key terms from the question (live sessions, Zoom link, watch live sessions). One search call is reasonable for this straightforward FAQ-style question, and there were no unnecessary duplicate calls. The tool use supported the final answer."
"Why can’t students get the Zoom URL for office hours, and what should we use instead?",489dd1c9d9,good,"The agent’s answer matches the ground truth well. It correctly states that the Zoom URL is only for instructors/presenters/TAs, and that students should use YouTube Live and Slido instead. It also includes the announcements channel and DataTalksClub YouTube channel, which are part of the original answer. One minor omission is the explicit warning not to post questions in chat because they may be missed, but the core answer is intact.",good,"The search query was relevant and contained key terms from the question (Zoom URL, office hours, students, what to use instead). Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
Where is the live video link posted before an office hours session starts?,489dd1c9d9,good,"The agent answer matches the key information from the ground truth: the live video link is posted in the announcements channel on Telegram and Slack before the session starts, and it can also be watched on the DataTalksClub YouTube channel. It omits extra details about Zoom access and Slido, but those are not necessary to answer the question.",good,"The single search query was relevant to the question and reasonably targeted. One search is sufficient here, and there were no unnecessary duplicate calls."
"If I want to ask a question during the live workshop, should I use chat or Slido?",489dd1c9d9,good,"The agent answer matches the ground truth on the key point: students should use Slido, not chat, because chat messages may be missed. It omits extra context about YouTube Live and the pinned Slido link, but the core answer is correct.",good,"The search query is relevant and includes the important keywords from the question (live workshop, question, chat, Slido). Only one search was needed, and it reasonably supports the final answer."
"Where should I begin if I’m just starting LLM Zoomcamp, and what pages/docs should I check first?",04919992b3,good,"The agent answer matches the ground truth well. It identifies the same three starting resources: the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the LLM Zoomcamp GitHub repository. It also mentions the course management platform for deadlines, and includes the same recommended workflow: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit before the deadline. This preserves the key information from the original answer, with only minor paraphrasing and an extra offer to help further, which does not conflict with the source.",good,"The single search query is relevant to the question and includes the core intent (starting LLM Zoomcamp and what docs/pages to check first). Only one tool call was needed, and no duplicate or unnecessary searches were made. The tool use was reasonable and supports the final answer."
"Can I start the course anytime, or is there a fixed start date I have to wait for?",04919992b3,good,"The agent’s answer matches the core ground truth: you can start whenever you want, the videos and GitHub materials are available, and deadlines/submissions are handled through the course platform. It adds an extra note about certificates and live cohort/self-paced mode that is not in the original answer, but that does not contradict the main point. Overall it contains the key information asked for.",good,"The single search query was relevant to the question and included the key idea of start date/self-paced access. One search call is reasonable here, and there were no unnecessary duplicates. The tool use was sufficient to support the final answer."
What’s the usual weekly routine for this course from watching videos to turning in homework?,04919992b3,good,"The agent’s answer matches the ground truth’s key points: watch lesson videos, work through notebooks/code, read homework instructions on GitHub, and submit answers on the course platform before the deadline. It also includes the note that homework is similar to the lesson flow but may use a different dataset or slightly different task. It omits the introductory links and the note that you can start whenever you want, but the core workflow asked about is preserved.",good,"The search query was relevant to the question and included important keywords like weekly routine, videos, and homework. Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
"Where are the deadlines posted, and how do I know when homework needs to be submitted?",04919992b3,bad,"The agent answer partially matches the ground truth. It correctly identifies the LLM Zoomcamp course management platform as where deadlines are posted and where homework/submission info is available. However, it adds details about a homework form being open and a [DRAFT] label that are not in the original answer, and it omits the key guidance that deadlines are listed on the course platform and that homework should be submitted there before the deadline, along with the workflow involving lesson videos, notebooks, GitHub instructions, and submission. Overall, it is related but not fully aligned with the source answer.",bad,"The tool call was only loosely relevant and too generic. The query used broad terms like 'syllabus course calendar LMS FAQ' rather than the specific course name or exact wording from the question. Only one search was made, which is acceptable, but it did not appear to meaningfully refine toward the exact source answer or support the final response well."
"Is homework basically the same as the lesson exercises, or does it change the dataset/task?",04919992b3,good,"The agent’s answer matches the key point from the ground truth: homework is similar to the lesson flow but uses a different dataset or slightly different task. It also correctly says it’s not exactly the same as the lesson exercises. The extra remark about homework being in draft or not officially open yet is not in the original answer, but it does not contradict the core information. It omits the links and workflow details, but those are not essential to the specific question asked.",good,"The search query was relevant and included the important concepts from the question: homework, lesson exercises, dataset, and task. Only one search was used, which is reasonable for this simple FAQ-style question. There were no unnecessary duplicate calls, and the tool use supported the final answer."
I don’t see my name on the leaderboard — how do I find my own entry?,c2903069a0,good,"The agent’s answer matches the key points of the ground truth: it says to use the “Jump to your record on the leaderboard” link, explains that a random name is assigned by default, and mentions “Edit Course Profile” with the first field as display name and the second as official name for the certificate. This covers the essential information asked for, though it is slightly less explicit about the example random name and the certificate details, but still correct.",good,"The search query was relevant to the question and included the core issue of not finding the leaderboard entry. Only one search was used, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
What name do I show on the leaderboard by default when I create an account?,c2903069a0,good,"The agent’s answer matches the ground truth on the core point: a random default leaderboard/display name is assigned, with “Lucid Elbakyan” given as the example, and it can be changed in Edit Course Profile. It omits the extra instruction about jumping to your record and the distinction between display name and official certificate name, but those are not required to answer the question asked.",good,"The single search query was relevant and contained the key concepts from the question (leaderboard, default name, create account). One search call was reasonable and sufficient."
Where can I check or change my display name for the course?,c2903069a0,good,"The agent answer matches the ground truth. It correctly says the display name can be checked or changed in 'Edit Course Profile' and identifies the first field as the public display name/nickname and the second as the official name for the certificate. This preserves the key information from the original answer, though it omits some extra details like the random assigned name and the leaderboard link, which are not essential to the question asked.",good,"The tool call was relevant and used appropriate keywords from the question ('display name', 'course', 'check change'). Only one search was made, which is reasonable for this simple FAQ-style question. No unnecessary or duplicate calls were made, and the search could support the final answer."
Can I use my Slack or GitHub name instead of the random nickname?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says the random nickname is just the default, and that the first field in Edit Course Profile can be changed to a Slack/GitHub username or other nickname, while the second field is the official name used on the certificate. This covers the key points from the original answer.",good,"The single search query was relevant to the question and included important keywords like Slack, GitHub, and random nickname. Only one search call was needed, and it supported the final answer well."
What do I need to enter so my certificate won’t show the default name?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to enter the official/legal name in the second field under Edit Course Profile, and that this name will appear on the certificate instead of the default random name. This captures the key information from the original answer.",good,"The search query was relevant and included the core terms from the question about the certificate and default name. Only one search call was made, which is reasonable for this straightforward question. The tool call supported the final answer."
"Can I do the course on my own schedule and still get a certificate, or is it only for people in the live cohort?",69d122f12e,good,"The agent answer matches the ground truth: it says certificates are only available for those who finish with a live cohort, self-paced mode does not earn a certificate, and the reason is that peer-review is only available while the course is running. This captures the key points from the original answer, even if it omits the detail about peer-reviewing 3 capstones and the closed form/list compilation, which is acceptable.",good,"The tool call was relevant and included important keywords from the question like self-paced, certificate, and live cohort. Only one search was used, which is reasonable for this straightforward FAQ-style question. The search supported the final answer."
"If I study the course in self-paced mode, will I get any certificate at the end?",69d122f12e,good,"The agent's answer matches the ground truth: it says no certificate for self-paced mode, and that certificates are only awarded when finishing with a live cohort because peer reviews must happen while the course is running. This captures the key points from the original answer, though it omits the specific detail about peer-reviewing 3 capstones and the form closing after the course ends. Those omissions do not change correctness.",good,"The tool call was reasonable and relevant. The search query included the key concepts from the question ('self-paced mode' and 'certificate'). Only one search was needed, and there were no unnecessary duplicate calls. The tool use supported the final answer."
Why aren't certificates given for the self-paced version of the course?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that certificates are only available for the live cohort, not the self-paced version, and explains the key reason: the certificate requires peer-reviewing 3 capstone projects, which can only be done while the course is actively running before the form closes. This preserves the essential details from the original answer.",good,"The tool use was reasonable. The search query is relevant to the question and includes the main concepts (certificates, self-paced version, course). Only one search was needed, and there were no unnecessary duplicate calls. The search supports the final answer well."
Do I need to peer-review other students' capstone projects in order to qualify for the certificate?,69d122f12e,bad,"The agent answer does not match the ground truth. The original says you do not get a certificate in self-paced mode; certificates are only available for a live cohort, and peer-reviewing 3 capstones is a requirement within that live course context. The agent incorrectly says 'Yes' as if peer-reviewing 3 projects is sufficient to qualify, omitting the key point that certificates are not awarded for self-paced mode.",good,"The search query was relevant and contained key terms from the question. Only one search was made, which is reasonable. However, the tool use was not enough to correct the important nuance, but it was still a sensible trajectory overall."
"Is it possible to submit peer reviews after the course is over, or does that only work while the cohort is running?",69d122f12e,good,The agent’s answer matches the ground truth: it says peer reviews only work while the cohort is running and cannot be submitted once the course form is closed and the peer-review list is compiled. That captures the key point that reviews are only available during the live course window. The extra mention about certificates is not incorrect and does not conflict with the original answer.,good,"The search query used the main keywords from the question: peer reviews, after course over, cohort running, submit. It was relevant and sufficient for a single lookup. There were no unnecessary duplicate calls, and one search was reasonable for this question."
I missed the first homework — can I still get the course certificate if I do the capstone project?,9f689c185f,good,"The agent answer matches the ground truth: it says missing homework does not prevent getting the certificate, homework is not mandatory, passing the Capstone is required, and homework points only affect leaderboard rank. This contains the key information from the original answer.",good,"The single search query was relevant and included the main keywords from the question (homework, certificate, capstone project). One search was sufficient and there were no unnecessary or duplicate calls."
"Do I have to complete every homework assignment to receive the certificate, or is passing the final project enough?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory, and that passing the Capstone/final project is sufficient to receive the certificate. It also includes the additional detail that homework is recommended and affects leaderboard rank, which is consistent with the original answer.",good,"The single search query was relevant and contained the key concepts from the question: certificate, homework, and final project. One search call was reasonable for this straightforward FAQ-style question, and no unnecessary or duplicate tool calls were made."
"If homework isn’t mandatory, what do I need to pass in order to get the certificate for this course?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory and that passing the Capstone project is required to get the certificate. It also includes the extra detail that homework points affect leaderboard rank, which is consistent with the original answer.",good,"The search query is relevant and includes key terms from the question such as homework, certificate, and pass requirements. Only one search was needed, and it was sufficient to support the final answer. No unnecessary or duplicate tool calls were made."
"Will skipping the first homework stop me from getting a certificate, even if I finish the capstone?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly says that skipping the first homework does not prevent getting a certificate as long as the Capstone is passed, and that homework is optional/not mandatory while affecting leaderboard rank. This contains all key information from the original answer.",good,"The single search query was relevant and included the main concepts from the question: certificate, homework, capstone, and skipping homework. One search call is reasonable, and there were no unnecessary or duplicate tool calls. The tool use supported the final answer."
"Are homework points required for the certificate, or do they only affect the leaderboard ranking?",9f689c185f,good,"The agent answer matches the key content of the ground truth: homework is not required for the certificate, passing the Capstone project is required, homework is optional/recommended, and homework points count toward leaderboard rank. This is consistent with the original answer.",good,"The search query was relevant and included important keywords from the question (homework points, certificate, leaderboard ranking). Only one search call was made, which is reasonable for a straightforward FAQ lookup, and it supported the final answer."
Why does the homework content keep changing before it’s released?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly explains that a `[DRAFT]` title means the homework is not ready, that readiness requires both the form to be open and the title to not contain `[DRAFT]`, and that the content may still change until then at the student's own risk. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and reasonable. It targets the core issue of homework content changing before release. One search is enough here, and there were no unnecessary duplicate calls."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states that [DRAFT] means the homework is not ready yet, and it includes the two conditions for readiness: the homework form being open and the title not containing [DRAFT]. It also captures the warning that content may still change and doing it early is at your own risk.",good,The single search query was directly relevant to the question and contained the key keyword '[DRAFT]'. One search call was reasonable and there were no unnecessary duplicates. The tool use supported the final answer.
How can I tell if a homework is actually ready to do?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states both readiness conditions: the homework form must be open on the course management platform, and the title must not contain [DRAFT]. It also includes the warning that if the title still says [DRAFT], the homework is not ready and the content may change, which aligns with the original answer.",good,"The tool use was reasonable. The agent made one search using the full question text, which is relevant and sufficient for this simple FAQ-style question. There were no unnecessary duplicate calls, and the search supported the final answer."
Is it safe to start working on homework early even if it’s still changing?,96286b4be4,good,"The agent answer matches the ground truth. It correctly says homework is only ready when the form is open and the title does not contain [DRAFT], and that starting early is at the student's own risk because the content can still change. This preserves the key information from the original answer.",good,"The search query was relevant to the question and included key concepts like homework, early, changing, and draft. Only one search was needed, and it was sufficient to support the final answer. There were no unnecessary duplicate calls."
When is homework considered final and no longer likely to change?,96286b4be4,good,The agent answer matches the ground truth. It correctly states that homework is final only when the homework form is open on the course management platform and the title does not contain [DRAFT]. It also includes the warning that the content can still change and early work is at your own risk.,good,"The single search query was relevant and used key terms from the question. One search call is reasonable, and the tool call supports the final answer."
When is the next run of this course starting?,bd31146b0e,good,The agent answer matches the ground truth exactly in substance: it states that the next run of the course is Summer 2027. No missing or conflicting information.,good,"The single search query is relevant to the question and sufficiently general to find the course start date. Only one search call was made, which is reasonable here, and it supports the final answer."
Do you know when the course will be offered again?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key information: it states the course will be offered again in Summer 2027.,good,"The search query is relevant to the question and seeks the course's next offering schedule. Only one search was used, which is reasonable, and it supported the final answer."
Is there a date for the next course session?,bd31146b0e,good,The agent’s answer matches the ground truth by stating the next course session is Summer 2027. It preserves the key information and directly answers the question.,good,"The search query was relevant to the question and used the key idea of asking for the next course session date. A single search call is reasonable here, and it supported the final answer."
When can I expect the next offering of the course?,bd31146b0e,good,The agent's answer matches the ground truth exactly in substance: it states that the next offering is Summer 2027.,good,"The single search query is relevant to the question and reasonably targeted. Only one search was needed, and there were no duplicate or unnecessary calls."
Will this course be available again in Summer 2027?,bd31146b0e,good,The agent's answer matches the ground truth: it states the course will be offered again in Summer 2027. This contains the key information and directly answers the question.,good,"The search query was relevant and included the key term 'Summer 2027' along with availability language. One search call is reasonable for this simple question, and the tool use supports the final answer."
Where can I find the course videos for each lesson?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says the main entry point is the LLM Zoomcamp GitHub repository, that users should open the lesson folders, and that each lesson page has relevant videos linked at the top. It also includes the advice to prefer the GitHub repo over the YouTube playlist because it is more up to date. This preserves the key information from the original answer.",good,"The tool call was relevant to the question and included keywords about course videos and lessons. Only one search was used, which is reasonable for this straightforward FAQ lookup. The query was somewhat generic, but it still supported the final answer and there were no unnecessary duplicate calls."
Is there a main place I should start instead of searching YouTube first?,31456f4b5f,good,"The agent’s answer matches the ground truth on the key points: it says to use the LLM Zoomcamp GitHub repo as the main entry point, open the lesson folders, and that lesson pages link the relevant videos at the top. It also preserves the guidance to follow the repo first rather than YouTube. It adds mention of the docs, which is not harmful, but the core answer is correct.",good,"The search query was relevant to the question and contained the central idea about starting place versus YouTube. Only one search was needed, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
How do I get to the lecture videos from the lesson pages?,31456f4b5f,good,"The agent’s answer matches the ground truth: it says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and find the relevant lecture videos linked at the top of each lesson page. It also correctly notes that the GitHub repo is preferable to the YouTube playlist because it is easier to keep updated.",good,"The tool call was relevant and included key terms from the question such as lecture videos and lesson pages. Only one search was made, which is reasonable for this straightforward question. There were no unnecessary or duplicate calls."
What’s the easiest way to find the videos for this course?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, note that relevant videos are linked at the top of each lesson page, and prefer the repo over the YouTube playlist because it is more up to date. That contains the key information from the original answer.",good,The tool call was reasonable and relevant. The search query closely matched the user’s question and only one search was needed to support the response. No unnecessary duplicate calls were made.
Should I use the GitHub repo or the YouTube playlist to track down the lectures?,31456f4b5f,good,"The agent answer matches the ground truth: it says to use the GitHub repo as the main entry point, notes that lesson folders contain the relevant video links, and explains that the repo is preferred because it is easier to keep updated than the YouTube playlist. This preserves the key guidance from the original answer.",good,"The single search query was relevant to the question and contained the main concepts (GitHub repo, YouTube playlist, lectures). One search call was reasonable and sufficient for this simple FAQ lookup, and it supported the final answer."
