question,document,score,reasoning
"If homework isn’t mandatory, what do I need to pass in order to get the certificate for this course?",9f689c185f,good,"The AI answer correctly states the key requirement for the certificate: passing the Capstone project. It also correctly notes that homework is not mandatory. It omits the extra detail that homework points count toward leaderboard rank, but that is not necessary to answer the question asked."
"Will skipping the first homework stop me from getting a certificate, even if I finish the capstone?",9f689c185f,good,"The AI answer preserves the key point that homework is not mandatory and that the certificate depends on passing the Capstone project. It adds an extra condition about finishing with a live cohort, which is not mentioned in the ground truth, but it does not contradict the core answer. The semantic meaning is effectively the same."
"Are homework points required for the certificate, or do they only affect the leaderboard ranking?",9f689c185f,good,"The AI answer matches the ground truth: it states that homework is not required for the certificate, that passing the Capstone project is necessary, and that homework points only affect leaderboard ranking while being optional but recommended. Semantically equivalent."
Why does the homework content keep changing before it’s released?,96286b4be4,good,"The AI answer preserves the key points: `[DRAFT]` means not ready, homework is only ready when the form is open and the title lacks `[DRAFT]`, and content may change until then. It also includes the warning that working early is at your own risk. Semantically equivalent to the ground truth."
What does it mean when a homework title has [DRAFT] in it?,96286b4be4,good,"The AI answer correctly states the core meaning of [DRAFT]: the homework is not ready yet. It omits the additional conditions and warning from the ground truth, but those are supporting details rather than the main answer to the question."
How can I tell if a homework is actually ready to do?,96286b4be4,good,"The AI answer preserves the key criteria for readiness: the form must be open and the title must not contain [DRAFT]. It also correctly states that [DRAFT] means not ready and content may still change. This is semantically equivalent to the ground truth, though it omits the explicit 'at your own risk' phrasing, which is not essential to the core answer."
Is it safe to start working on homework early even if it’s still changing?,96286b4be4,good,The AI answer captures the key point that working early is possible but risky because the homework can still change. It also correctly mentions the '[DRAFT]' marker and that the form not being open means it is not ready yet. This is semantically equivalent to the ground truth.
When is homework considered final and no longer likely to change?,96286b4be4,good,"The AI answer captures the same conditions for homework being final: the form must be open and the title must not contain [DRAFT]. It also states that until then it can still change. This matches the ground truth semantically, with no missing key point."
When is the next run of this course starting?,bd31146b0e,good,The AI answer matches the ground truth exactly in meaning and timing: Summer 2027.
Do you know when the course will be offered again?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same information: the course will be offered again in Summer 2027.
Is there a date for the next course session?,bd31146b0e,bad,"The ground truth gives a specific date/timeframe for the next course session: Summer 2027. The AI answer says it does not know, which fails to convey the provided information and is not semantically equivalent."
When can I expect the next offering of the course?,bd31146b0e,good,"The AI answer matches the ground truth exactly in meaning, stating the next offering is expected in Summer 2027."
Will this course be available again in Summer 2027?,bd31146b0e,good,"The AI answer matches the ground truth. Both indicate the course will be available again in Summer 2027, with no contradictory information."
Where can I find the course videos for each lesson?,31456f4b5f,good,"The AI answer matches the ground truth: it says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and notes that each lesson page has the relevant videos linked at the top. It omits the extra note about preferring the repo over the YouTube playlist, but that is supplementary rather than core to the answer."
Is there a main place I should start instead of searching YouTube first?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point and states that the repo should be followed first because it is easier to keep updated than YouTube. It omits some extra specifics about lesson folders and videos linked at the top, but the core answer is preserved."
How do I get to the lecture videos from the lesson pages?,31456f4b5f,good,"The AI answer preserves the key instructions from the ground truth: use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and find the lecture videos linked at the top of each lesson page. It omits the extra note about preferring GitHub over YouTube playlists, but that is supplementary rather than essential."
What’s the easiest way to find the videos for this course?,31456f4b5f,good,"The AI answer matches the ground truth: it says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, find the videos linked at the top of each lesson page, and prefer the GitHub repo over the YouTube playlist because it is easier to keep updated. This conveys the same key information."
Should I use the GitHub repo or the YouTube playlist to track down the lectures?,31456f4b5f,good,"The AI answer conveys the same guidance as the ground truth: use the GitHub repository as the primary source, because it is the main entry point and easier to keep updated than the YouTube playlist, and lesson folders contain linked videos. This is semantically equivalent."
Where do I check the LLM Zoomcamp syllabus and current cohort structure?,20c5a1347e,good,"The AI answer points to the same course management platform and correctly states that it contains the current cohort structure and related course information. This matches the ground truth semantically, with only minor wording differences and a small extra mention of syllabus that does not conflict with the original answer. It preserves the key instruction of where to check."
Is there one place to see homework and deadlines for the LLM Zoomcamp?,20c5a1347e,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp course management platform as the place to see homework and deadlines, includes the correct link, and adds a compatible note that the platform is used for submission and deadlines. No key information is missing or contradicted."
How can I track my progress in LLM Zoomcamp during the course?,20c5a1347e,good,"The AI answer conveys the same core information as the ground truth: it points to the LLM Zoomcamp course management platform and states that it includes structure, homework, deadlines, and progress tracking. It omits the note that the process is the same as in other DataTalks.Club Zoomcamps, but that is supplementary and not essential to the answer."
What platform should I use for all LLM Zoomcamp course info and updates?,20c5a1347e,good,"The AI answer identifies the correct course management platform URL and correctly states that it contains deadlines, homework, and progress tracking. It mentions syllabus instead of current cohort structure, which is slightly different but not a substantive error. Overall it conveys the same key information."
Does LLM Zoomcamp have a management site like the other DataTalks.Club Zoomcamps?,20c5a1347e,good,"The AI answer conveys the same core information as the ground truth: LLM Zoomcamp does have a course management platform, provides the correct link, and mentions the same features (current cohort structure, homework, deadlines, progress tracking). It is semantically equivalent."
"Do you guys have live classes or office hours for every module, or is it all recorded?",d65e05bd7a,good,"The AI answer matches the ground truth: it says there are no default live classes/office hours for every module, materials are pre-recorded in the repo, live sessions are announced separately, questions should go to Slack following guidelines, and optional paid AI Shipping Labs provides regular Zoom office hours while the course remains free. Minor paraphrasing only."
"If I get stuck on a lesson, where should I ask for help and is there any guide for that?",d65e05bd7a,good,"The AI answer correctly says to ask in Slack and follow the asking questions guidelines, and it also notes that live sessions are not separate for every module by default and are announced separately. It omits the optional AI Shipping Labs extra support, but that is additional information rather than the core answer to the question asked about where to ask for help and whether there is a guide. The main point is preserved."
"Are live sessions part of the course schedule, or do they only happen sometimes?",d65e05bd7a,good,"The AI answer captures the main point that live sessions are not scheduled for every module by default and that materials are pre-recorded, with live sessions announced separately. It omits the extra support/Slack guidance, but that is supplementary rather than essential to the question asked."
"Is there an option for paid extra support with regular Zoom office hours, or is everything free?",d65e05bd7a,good,"The AI answer captures the key point: there is an optional paid extra-support community (AI Shipping Labs) with regular Zoom office hours, while the main course content is free. It omits some minor details about pre-recorded module materials and Slack guidance, but those are not essential to the question asked."
Where can I find the module materials if there aren't separate live sessions each week?,d65e05bd7a,good,"The AI answer correctly states that the module materials are in the course repo and are pre-recorded. It matches the core of the ground truth, though it omits the extra notes about live sessions being announced separately, asking questions in Slack, and optional AI Shipping Labs. Those omissions do not change the main answer to the user’s question."
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it clearly says Bluesky posts can count toward learning in public credits for the course.
Does posting on Bluesky qualify for the learning in public requirement?,dbf5369006,good,The AI answer exactly matches the ground truth and preserves the same meaning: Bluesky posts qualify for learning in public credits.
Are Bluesky updates accepted as learning in public credits?,dbf5369006,good,The AI answer matches the ground truth exactly: it confirms that Bluesky posts are accepted for learning in public credits. No key information is missing or altered.
"If I share my course progress on Bluesky, will that be eligible for credits?",dbf5369006,good,The AI answer exactly matches the ground truth and preserves the key information that Bluesky posts are eligible for learning in public credits.
Can I use Bluesky activity to get learning in public credit for llm-zoomcamp?,dbf5369006,good,"The AI answer matches the ground truth in meaning: it confirms that Bluesky posts can be used for learning in public credits for llm-zoomcamp. This is semantically equivalent, with only minor wording differences."
"Is there a Telegram group for LLM Zoomcamp, and what link should I join?",054f3fd58f,good,"The AI answer matches the ground truth: it provides the Telegram link, notes that it is for announcements, and says technical discussion should go to the course Slack channel. Semantically equivalent."
Where do course announcements get posted for LLM Zoomcamp?,054f3fd58f,good,"The AI answer correctly identifies the Telegram channel link for course announcements, which matches the ground truth. It preserves the key information and does not contradict the note about using Slack for technical discussion, though that extra detail was not required."
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f,good,The AI answer matches the ground truth: it states that Telegram is for announcements and Slack should be used for technical discussion and questions. No key information is missing or incorrect.
What’s the Slack channel for LLM Zoomcamp used for?,054f3fd58f,good,"The AI answer captures the key purpose of the Slack channel: technical discussion and questions. It omits the Telegram announcement channel mention, but the question asks what the Slack channel is used for, so the core answer is correct and semantically equivalent."
"I found the Telegram channel link, but is it mainly for updates or actual course support?",054f3fd58f,good,"The AI answer preserves the key point from the ground truth: the Telegram channel is for announcements/updates, while technical discussion and questions should go to the course Slack channel. It omits the explicit Telegram link, but that was not asked for and the core meaning matches."
Why is my FAQ record count different from the one shown in the videos?,e2d595f23c,good,"The AI answer preserves the key idea from the ground truth: the FAQ dataset is live and changes over time, and the videos were recorded in May 2026 so counts may differ now. This is semantically equivalent."
"I’m getting a different number of rows in the FAQ data than the lecture, is that normal?",e2d595f23c,good,"The AI answer matches the ground truth: it explains that the FAQ dataset is live, changes over time, and that the lecture videos were recorded in May 2026 so the row count may differ now. No key information is missing."
"Does the FAQ dataset change over time, and could that explain mismatched counts?",e2d595f23c,good,"The AI answer preserves the core meaning of the ground truth: the FAQ dataset is live and changes over time, and this explains mismatched counts because the videos were recorded in May 2026. It is semantically equivalent."
The videos show one FAQ total but my code returns another — what’s going on?,e2d595f23c,good,"The AI answer conveys the same key point as the ground truth: the FAQ dataset is live, changes over time, and the videos were recorded in May 2026 so counts can differ. No important information is missing or incorrect."
Why do the FAQ examples in the course not match the current dataset size?,e2d595f23c,good,"The AI answer preserves the key idea from the ground truth: the dataset is live and changes over time, so the current count may differ from the course videos, which were recorded in May 2026. This is semantically equivalent."
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe,good,"The AI answer matches the ground truth: it says submission is still allowed if the form remains open even after the deadline, and that submission is no longer possible only once the form is closed. Same key point conveyed clearly."
"The due date is over, but the submission page hasn’t closed yet — does that mean I can still submit?",a9353fadfe,good,"The AI answer preserves the key point from the ground truth: submissions are still allowed after the listed deadline if the form remains open, and only become impossible once the form is closed. It is semantically equivalent, though slightly more concise."
"If the homework form is open after the deadline, is my submission still accepted?",a9353fadfe,good,The AI answer matches the ground truth: it says submissions are accepted if the form is still open even after the deadline has passed. It preserves the key condition that only form closure prevents submission.
When do I actually lose the ability to submit: right after the deadline or only once the form closes?,a9353fadfe,good,"The AI answer conveys the same core point as the ground truth: submissions remain possible after the deadline if the form is still open, and the ability to submit ends only when the form closes. This is semantically equivalent."
"I missed the deadline, but the form is still available — should I go ahead and send my answers?",a9353fadfe,good,"The AI answer matches the ground truth: it says submission is allowed if the form is still open even after the deadline, and that submission is no longer possible only once the form is closed. No key information is missing or incorrect."
"Can I still hand in homework after the deadline has passed, or is it closed for good?",cdc3b285e5,good,"The AI answer captures the core policy correctly: no late submissions after the form closes, no individual extensions, and submissions are still allowed while the form remains open even past the listed deadline. It omits the extra information about certificates, Capstone, and leaderboard impact, but that was not essential to the direct question asked."
Do you ever give individual extensions for homework deadlines?,cdc3b285e5,good,"The AI answer correctly states that no individual extensions are given and that late submissions are not accepted after the form closes. However, it omits an important part of the original answer: submissions are still allowed while the form is open even if the listed deadline has passed, and it leaves out the clarification about homework not affecting the certificate and only counting toward leaderboard rank. Since the core question is about extensions, the main answer is correct, but it is somewhat incomplete compared with the ground truth."
"If I miss one homework, will that stop me from getting the certificate?",cdc3b285e5,good,"The AI answer captures the key point that missing homework does not prevent earning the certificate and that the Capstone project is the requirement. It omits the extra details about no late submissions and leaderboard ranking, but those are not necessary for the core question. The mention that homework is 'recommended' is not in the ground truth, but it does not change the main meaning enough to be incorrect."
Are late homework submissions allowed as long as the form is still open?,cdc3b285e5,bad,"The AI answer captures the key point that submissions are allowed while the form remains open and are not allowed after it closes. However, it incorrectly says 'Yes' to the question 'Are late homework submissions allowed,' whereas the ground truth says there are no late submissions and no individual deadline extensions; the only nuance is that you can submit after the listed deadline if the form is still open. The AI answer is therefore partially misleading on the core yes/no framing and omits the important clarification about no late submissions beyond the form closure, though it does state the form-open condition correctly."
"Does skipping homework affect the final certificate, or only the leaderboard ranking?",cdc3b285e5,good,"The AI answer matches the core point: skipping homework does not affect the certificate, only leaderboard ranking, and Capstone is required for the certificate. It omits the extra details about no deadline extensions and no late submissions, but those are not necessary for answering the question as asked."
"Does the name I enter for the certificate get shown on the public leaderboard or anywhere online, or is it only on the certificate itself?",651ba06b34,good,"The AI answer preserves the key point that the certificate name is only on the certificate and not public, and it correctly says the leaderboard uses a separate display name/nickname. It omits the extra detail that the default nickname is random/anonymous and that both fields can be edited in 'Edit Course Profile', but those are not necessary for semantic equivalence."
"If I use my real name in the certificate field, will it be shared with third parties or kept private?",651ba06b34,good,"The AI answer matches the ground truth on the key point: the certificate name is private and only appears on the certificate, not shared or published. It also correctly notes that the leaderboard uses a separate display name. It omits the extra detail about the nickname being random by default and the specific fields in Edit Course Profile, but those are not required for semantic equivalence."
What’s the difference between the leaderboard display name and the certificate name in Edit Course Profile?,651ba06b34,good,"The AI answer matches the ground truth: it correctly distinguishes the public leaderboard display name from the private certificate name, notes that the certificate name is only printed on the certificate and not public/shared, and implies the leaderboard name is public/anonymous. It omits the specific detail about the two fields in 'Edit Course Profile' and the example random nickname, but the core meaning is preserved."
Can I keep my real name off the leaderboard but still have it printed on the certificate?,651ba06b34,good,"The AI answer preserves the core idea: the leaderboard uses a separate display name and the certificate can show an official name. It correctly indicates the real name can be kept off the public leaderboard while still appearing on the certificate. Although it says 'Yes' instead of the original's initial 'No' wording, the substantive meaning matches the ground truth."
"When I update my course profile, which field controls the public nickname and which one controls the official certificate name?",651ba06b34,good,"The AI answer correctly identifies that the first field controls the public nickname/display name for the leaderboard and the second field controls the official certificate name. This matches the ground truth. It omits some extra explanatory privacy details, but the core answer is present and correct."
Why don't we use LangChain in this course and build everything from scratch instead?,b7cdde6b25,good,"The AI answer conveys the same core idea as the ground truth: the course avoids LangChain initially so students learn the fundamental building blocks first, and it uses the same HTML/CSS/JavaScript vs React/Angular analogy. No important information is missing or contradicted."
What's the reason for learning the basic RAG parts before using a framework like LangChain?,b7cdde6b25,good,"The AI answer matches the ground truth: it explains that the course teaches the core RAG components first (prompting, retrieval, indexing, evaluation) so the student understands what the framework automates, and it uses the same HTML/CSS/JavaScript vs React/Angular analogy. No key information is missing or incorrect."
"Why does the course focus on prompt, retrieval, indexing, and evaluation first?",b7cdde6b25,good,"The AI answer preserves the key idea: the course focuses on prompt, retrieval, indexing, and evaluation first so learners understand the core building blocks before using a framework, with the same HTML/CSS/JS vs React/Angular analogy. This is semantically equivalent to the ground truth."
"Is LangChain required for the assignments in this module, or is it skipped on purpose?",b7cdde6b25,good,"The AI answer preserves the key idea: LangChain is not required and the course intentionally avoids it initially so students build the core components themselves. This matches the ground truth, though it omits the framework analogy, which is extra detail rather than essential content."
Why is it better to understand the core LLM app pieces before adding a framework on top?,b7cdde6b25,good,"The AI answer captures the key idea from the ground truth: learn the core LLM app components (prompting, retrieval, indexing, evaluation) before using a framework, and it correctly uses the HTML/CSS/JavaScript vs React/Angular analogy. It is semantically equivalent and complete."
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59,good,"The AI answer correctly explains that the error is caused by insufficient credits/quota in the OpenAI account and that it is a billing issue. It adds some extra troubleshooting details, but the core explanation matches the ground truth."
What does it mean if responses.create fails with an insufficient credits error?,f5df151c59,good,"The AI answer conveys the same core meaning as the ground truth: `responses.create` can fail because the OpenAI account has insufficient credits, and the fix is to add credits or resolve billing/quota. This is semantically equivalent, with only extra explanatory detail."
"Is the OpenAI responses.create command broken, or is the error from my account balance?",f5df151c59,good,"The AI answer conveys the same core point as the ground truth: the `responses.create` error is due to insufficient credits/quota in the OpenAI account, not a broken command. It mentions the specific insufficient credits error and is therefore semantically equivalent, with only extra detail added."
How can I fix the OpenAI API insufficient credits message when using responses.create?,f5df151c59,good,"The ground truth only states that the error occurs due to insufficient credits in the OpenAI account. The AI answer correctly addresses this by advising the user to add credits / enable billing, which is the core fix. It includes extra suggestions (model availability, recreating API key, OpenRouter note) that are not in the original, but they do not contradict the main answer. The essential meaning is preserved."
What should I check in my OpenAI account if responses.create throws an insufficient credits error?,f5df151c59,good,"The AI answer captures the key point that the insufficient credits error is caused by not having enough credits/quota in the OpenAI account and suggests checking billing. It adds some extra advice about adding credits and recreating the API key, which is not in the ground truth, but the core answer matches the original. "
Why am I getting a 429 RateLimitError from OpenAI when I try to call the API?,152af39a53,good,"The AI answer correctly identifies the main cause of the 429 RateLimitError as insufficient quota/billing rather than ordinary request throttling. It also includes the key resolution steps: add credits, use an available model, and possibly recreate the API key. The extra note about per-minute limits is additional but does not contradict the ground truth. Overall semantically equivalent."
"Does this OpenAI error mean my code is wrong, or is it usually a billing/quota problem?",152af39a53,good,"The AI answer matches the ground truth: it correctly identifies the 429/insufficient_quota error as a billing/quota issue rather than a code bug, and it mentions adding credits, checking model availability, and possibly recreating the API key. This is semantically equivalent to the original answer."
How do I fix the 'You exceeded your current quota' message for the OpenAI API?,152af39a53,good,"The AI answer captures the core fix: the error is due to API quota/billing, you need to add credits, possibly use an available model, and possibly recreate the API key. It also mentions there is no free OpenAI API usage, which matches the ground truth. The extra note about free/low-cost alternatives is additional but does not conflict with the answer."
Do I need to add credits or a payment method before I can use OpenAI API requests in this course?,152af39a53,bad,The ground truth says OpenAI API has no free usage and that you must add funds/enable billing to use API requests in the course; it also mentions possible model/key setup steps. The AI answer directly contradicts this by saying no credits or payment are needed and suggests alternatives instead. This is not semantically equivalent.
"After topping up my OpenAI account, do I also need to create a new API key or change the model name?",152af39a53,bad,"The AI answer does not address the question and is not semantically equivalent to the ground truth, which explains that the issue is quota-related and that after topping up you may need to use an available model and possibly recreate/update the API key. Saying 'I don't know' misses the key information."
How much money do I actually need to use the OpenAI API for this course?,554d0eb78b,good,"The AI answer matches the ground truth: it says the cost should be very little, that you can recharge starting from $5, and that initial usage is usually fractions of a cent. This is semantically equivalent."
"Do I need to add a lot of credit upfront, or is a small recharge enough?",554d0eb78b,good,"The AI answer preserves the key point: only a small recharge is needed, starting from $5, and usage is usually very cheap, on the order of fractions of a cent. This is semantically equivalent to the ground truth."
"What’s the minimum top-up for OpenAI API usage, and is it okay for the course?",554d0eb78b,bad,"The AI answer correctly states the $5 minimum top-up, but it misses the main point of the ground truth: using the OpenAI API for the course should cost very little, with initial usage usually fractions of a cent. It also introduces a different claim that you don’t have to pay for OpenAI API and can use alternatives, which is not in the original answer. Because it does not preserve the key answer about cost being very low and adds unsupported information, it is not semantically equivalent."
"Will using the OpenAI API in this module cost me a lot, or just a tiny amount?",554d0eb78b,good,"The AI answer matches the ground truth: it says usage should cost very little, initial usage is usually fractions of a cent, and recharging starts from $5. This preserves the key meaning."
"If I start with a $5 recharge, is that more than enough for the course exercises?",554d0eb78b,good,"The AI answer preserves the key point: a $5 recharge is more than enough, and usage is typically only fractions of a cent. This is semantically equivalent to the ground truth."
"Do I need to pay for the OpenAI API to finish the llm-zoomcamp homework, or are there free options I can use instead?",85384a18e5,good,"The AI answer preserves the core point: payment for OpenAI API is not required, and free/low-cost alternatives can be used. It adds examples of alternatives, which is consistent with the ground truth and does not contradict it."
